Participant_ID,Delay,"Response(N(no response) / C(correct response) / W(wrong response)/ U(sorry, I can't understand))",Talk_Type,Rounds No. of this talk,Repetition,rounds,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
21154,0,C,S,17.2,,2,,,,,,,,,
21154,1,C,S,18.1,,1,,,,,,,,,
21154,0,C,S,19.1,,1,,,,,,,,,
21154,2,C,S,20.1,,1,,,,,,,,,
21154,0,C,S,21.1,,,,,,,,,,,
21154,0,C,S,21.2,,2,,,,,,,,,
21154,0,C,S,22.1,,1,,,,,,,,,
21154,0,C,S,23.1,,,,,,,,,,,
21154,2,C,S,23.2,,2,,,,,,,,,
21154,0,W,S,24.1,,1,,,,,,,,,
21154,0,C,S,25.1,,1,,,,,,,,,
21154,1,C,S,26.1,,1,,,,,,,,,
21154,0,C,S,27.1,,1,,,,,,,,,
21154,1,C,S,28.1,,1,,,,,,,,,
21154,0,C,S,29.1,,1,,,,,,,,,
21154,0,C,S,30.1,,,,,,,,,,,
21154,0,U,S,30.2,,,,,,,,,,,
21154,0,C,S,30.3,,3,,,,,,,,,
21154,1,U,S,31.1,,1,,,,,,,,,
21154,0,C,S,32.1,3,,,,,,,,,,
21154,,N,S,32.2,,,,,,,,,,,
21154,,N,S,32.3,,,,,,,,,,,
21154,0,C,S,32.4,,,,,,,,,,,
21154,0,C,S,32.5,,5,,,,,,,,,
21154,1,C,S,34.1,,1,,,,,,,,,
21154,0,C,S,35.1,,1,,,,,,,,,
21154,0,C,S,37.1,,1,,,,,,,,,
21154,1,C,S,38.1,,,,,,,,,,,
21154,2,C,S,38.2,,2,,,,,,,,,
21154,0,W,S,39.1,,1,,,,,,,,,
21154,0,C,S,40.1,,1,,,,,,,,,
21154,1,C,S,41.1,,1,,,,,,,,,
21154,0,C,S,42.1,,1,,,,,,,,,
21154,0,C,S,43.1,,1,,,,,,,,,
21154,0,C,S,44.1,,1,,,,,,,,,
21154,0,W,S,45.1,,1,,,,,,,,,
21154,0,C,S,46.1,,1,,,,,,,,,
21154,1,C,S,47.1,,1,,,,,,,,,
21154,1,C,S,48.1,,,,,,,,,,,
21154,0,W,S,48.2,,2,,,,,,,,,
21154,1,C,S,49.1,,1,,,,,,,,,
21154,1,C,S,50.1,,1,,,,,,,,,
21154,0,U,S,51.1,,,,,,,,,,,
21154,,N,S,51.2,3,,,,,,,,,,
21154,,N,S,51.3,,,,,,,,,,,
21154,1,C,S,51.4,,4,,,,,,,,,
21154,2,W,S,52.1,,,,,,,,,,,
21154,1,C,S,52.2,,2,,,,,,,,,
21154,2,C,S,53.1,,1,,,,,,,,,
21154,1,C,S,54.1,,1,,,,,,,,,
18319,5,C,T,1.1,,1,,,,,,,,,
18319,1,C,T,2.1,,1,,,,,,,,,
18319,10,C,S,3.1,,1,,,,,,,,,
18319,1,W,S,4.1,1,,,,,,,,,,
18319,2,W,S,4.2,,,,,,,,,,,
18319,7,N,S,4.3,,3,,,,,,,,,
18319,11,W,S,5.1,,,,,,,,,,,
18319,2,U,S,5.2,,2,,,,,,,,,
18319,13,C,S,6.1,,1,,,,,,,,,
18319,18,N,S,7.1,,,,,,,,,,,
18319,6,C,S,7.2,,2,,,,,,,,,
18319,20,C,S,6.1,,,,,,,,,,,
18319,25,N,S,6.2,,,,,,,,,,,
18319,5,N,S,6.3,1,3,,,,,,,,,
18319,30,C,T,8.1,,1,,,,,,,,,
18319,11,C,T,9.1,,1,,,,,,,,,
18319,3,C,T,10.1,,1,,,,,,,,,
18319,7,C,T,11.1,,1,,,,,,,,,
18319,7,W,T,12.1,,1,,,,,,,,,
18319,5,C,T,13.1,,1,,,,,,,,,
18319,2,C,T,14.1,,,,,,,,,,,
18319,2,C,T,14.2,,2,,,,,,,,,
21826,2,C,S,1.1,,,,,,,,,,,
21826,2,U,S,1.2,,,,,,,,,,,
21826,9,N,S,1.3,1,,,,,,,,,,
21826,3,C,S,1.4,,4,,,,,,,,,
21826,1,C,S,2.1,,,,,,,,,,,
21826,2,U,S,2.2,,,,,,,,,,,
21826,2,C,S,2.3,,3,,,,,,,,,
21826,1,C,S,3.1,,,,,,,,,,,
21826,2,C,S,3.2,,,,,,,,,,,
21826,3,C,S,3.3,,,,,,,,,,,
21826,4,C,S,3.4,,,,,,,,,,,
21826,3,C,S,3.5,,,,,,,,,,,
21826,6,C,S,3.6,,,,,,,,,,,
21826,0,N,S,3.7,,7,,,,,,,,,
21826,3,W,S,4.1,1,,,,,,,,,,
21826,0,C,S,4.2,,,,,,,,,,,
21826,4,C,S,4.3,,,,,,,,,,,
21826,2,C,S,4.4,,,,,,,,,,,
21826,3,C,S,4.5,,,,,,,,,,,
21826,3,C,S,4.6,,,,,,,,,,,
21826,4,C,S,4.7,,,,,,,,,,,
21826,0,C,S,4.8,,8,,,,,,,,,
21826,2,C,S,5.1,,,,,,,,,,,
21826,4,C,S,5.2,,,,,,,,,,,
21826,4,W,S,5.3,,,,,,,,,,,
21826,10,W,S,5.4,5,,,,,,,,,,
21826,,W,S,5.5,,,,,,,,,,,
21826,,W,S,5.6,,,,,,,,,,,
21826,12,W,S,5.7,,,,,,,,,,,
21826,,N,S,5.8,,,,,,,,,,,
21826,2,C,S,5.9,,,,,,,,,,,
21826,2,W,S,5.10,,,,,,,,,,,
21826,3,U,S,5.11,2,,,,,,,,,,
21826,,W,S,5.12,,,,,,,,,,,
21826,2,U,S,5.13,,13,,,,,,,,,
21826,4,U,S,6.1,1,,,,,,,,,,
21826,3,C,S,6.2,,,,,,,,,,,
21826,1,C,S,6.3,,3,,,,,,,,,
21826,3,C,T,7.1,,,,,,,,,,,
21826,3,C,T,7.2,,,,,,,,,,,
21826,4,C,T,7.3,,,,,,,,,,,
21826,2,C,T,7.4,,,,,,,,,,,
21826,,N,T,7.5,,,,,,,,,,,
21826,2,N,T,7.6,,,,,,,,,,,
21826,2,C,T,7.7,,,,,,,,,,,
21826,2,W,T,7.8,,,,,,,,,,,
21826,3,C,T,7.9,,,,,,,,,,,
21826,1,C,T,7.10,,,,,,,,,,,
21826,3,C,T,7.11,,,,,,,,,,,
21826,3,C,T,7.12,,,,,,,,,,,
21826,5,N,T,7.13,1,,,,,,,,,,
21826,2,U,T,7.14,,14,,,,,,,,,
21826,1,U,T,8.1,3,,,,,,,,,,
21826,2,U,T,8.2,,,,,,,,,,,
21826,2,U,T,8.3,,,,,,,,,,,
21826,3,C,T,8.4,,,,,,,,,,,
21826,1,W,T,8.5,1,,,,,,,,,,
21826,1,C,T,8.6,,,,,,,,,,,
21826,2,W,T,8.7,,,,,,,,,,,
21826,,,T,8.8,,,,,,,,,,,
21826,1,U,T,8.9,1,,,,,,,,,,
21826,2,C,T,8.10,,,,,,,,,,,
21826,3,C,T,8.11,,,,,,,,,,,
21826,2,W,T,8.12,2,,,,,,,,,,
21826,3,W,T,8.13,,,,,,,,,,,
21826,2,C,T,8.14,,,,,,,,,,,
21826,2,C,T,8.15,1,,,,,,,,,,
21826,,,T,8.16,,,,,,,,,,,
21826,1,W,T,8.17,1,,,,,,,,,,
21826,3,W,T,8.18,,,,,,,,,,,
21826,4,U,T,8.19,,,,,,,,,,,
21826,2,C,T,8.20,,,,,,,,,,,
21826,1,C,T,8.21,,,,,,,,,,,
21826,4,C,T,8.22,,,,,,,,,,,
21826,1,C,T,8.23,,,,,,,,,,,
21826,1,U,T,8.24,,,,,,,,,,,
21826,3,U,T,8.25,,25,,,,,,,,,
21826,3,C,T,9.1,,,,,,,,,,,
21826,2,C,T,9.2,,2,,,,,,,,,
